Comment,Description,Designator,Footprint,LibRef,Manufacturer 1,Manufacturer Part Number 1,Quantity,Manufacturer 2,Manufacturer Part Number 2

"TVS_ESDAVLC6-1BV2","Single Line Bi Trans 8pF","TVS7","ST_MICRO_TVS","TVS_ESDAVLC6-1BV2","STMicroelectronics","ESDAVLC6-1BV2","1","",""
"TPS82675SIPT","IC REG BUCK SYNC 1.2V 0.6A 8USIP","U11","MICRP SIP","U_TPS82675SIPT","Texas Instruments","TPS82675SIPT","1","",""
"SBR0240LP-7","DIODE SUP BARRIER 40V 0.25A 2DFN","D3, D4","2-XFDFN","D_SBR0240LP-7","Diodes Incorporated","SBR0240LP-7","2","",""
"Power Switch","IC LOAD MGMT SWITCH ADV 4WLCSP","U13","DSBGA4","U_FPF1504BUCX","Fairchild Semiconductor","FPF1504BUCX","1","",""
"M25P16-VMC6TG","IC FLASH 16MBIT 75MHZ 8UFDFPN","U5","UFDFN8","U_M25P16-VMC6TG","Micron Technology Inc","M25P16-VMC6TG","1","",""
"LFE3-17EA","IC FPGA 17KLUTS 116I/O 328-BGA","U3","BGA328C50P19X19_1000X1000X150","U_LFE3-17EA-MG328","Lattice Semiconductor Corporation","LFE3-17EA-8LMG328C","1","",""
"IC AMP AUDIO PWR 1.45W MONO 8SON","IC AMP AUDIO PWR 1.45W MONO 8SON","U8","8VDFN","TPA2006D1DRBR","Texas Instruments","TPA2006D1DRBR","1","",""
"Dual TVS","TVS DIODE 3.3VWM 11VC TSLP4-10","TVS1, TVS2, TVS3, TVS4","TSLP-4-10","TVS_ESD102U2099ELE6327XTSA1","Infineon Technologies","ESD102U2099ELE6327XTSA1","4","",""
"C_0201_1uF","1uF 0201 X5R","C45, C46","CAPC0201","C_0201_1uF","Samsung Electro-Mechanics America, Inc","CL03A105MP3NSNC","2","",""
"Buffer","IC BUFFER GATE SGL 4-DSBGA","U1, U2, U6","DSBGA4_.4MM","U_SN74AUP1G34YFPR","Texas Instruments","SN74AUP1G34YFPR","3","",""
"Audio Codec","","U15","S-PQFP-N28","TLV320AIC23B","Texas Instruments","TLV320AIC23BRHDR","1","",""
"270K","RES 270K OHM 1/32W 5% 01005 SMD","R3, R19","R_01005","R_01005_270K_5%","Panasonic Electronic Components","ERJ-XGNJ134Y","2","",""
"130K","RES 130K OHM 1/32W 5% 01005 SMD","R4","R_01005","R_01005_130K_5%","Panasonic Electronic Components","ERJ-XGNJ134Y","1","",""
"22uF","CAP CER 22UF 6.3V 20% X5R 0603","C52, C95","C_ERA-0603","C_0603_22uF","TDK Corporation","C1608X5R0J226M080AC","2","",""
"22uF","CAP CER 22UF 6.3V X7R 10% 0805","C38, C78","C_ERA-0805","C_0805_22UF_6.3V","AVX Corporation","08056D226MAT2A","2","Taiyo Yuden","JMK212BJ226MG-T"
"12MHz Oscillator","OSC 12MHZ 3.3V SMD","U9","LCCS165P160X200X70-4N","U_ASA-12.000MHZ-L-T","Abracon Corporation","ASA-19.200MHZ-L-T","1","",""
